2450926|45816|17368|14601|797995|6189|9583|14601|797995|4703|9583|1|106|2|2|30|2|47|3888.31|233.29|4121.60|91.23|1348.90|3577.24|186.64|124.43|1673.42|
2450946|74710|6295|14601|797995|6189|9583|82809|665550|991|14832|1|17|2|5|6|2|49|2490.18|99.60|2589.78|52.54|1867.39|323.72|931.57|1234.89|2019.53|
2451065|71104|3391|25383|3755|2480|5652|2311|700704|5571|12485|4|7|13|2|1|4|12|64.32|4.50|68.82|22.97|78.60|1.28|55.47|7.57|106.07|
2450954|28638|13114|76801|90299|3797|42495|71681|1168758|7154|35197|2|9|12|3|6|5|20|829.40|49.76|879.16|60.00|308.00|622.05|176.24|31.11|417.76|
2451023|44538|3614|31351|528859|5567|23122|33027|737861|54|2647|1|78|12|5|16|6|6|403.08|36.27|439.35|4.58|199.44|354.71|27.57|20.80|240.29|
2450992|10904|6656|31351|528859|5567|23122|48008|1289384|1410|27436|1|54|7|3|4|6|7|23.17|1.85|25.02|19.85|7.07|6.25|9.64|7.28|28.77|
2451016|60162|12422|77674||||14994|||4335||2||||9|3|413.94|0.00||||318.73|35.22|59.99|185.36|
2450926|30343|14980|41731|1046123|5715|32107|88927|865466|4658|2697|1|65|14|3|5|11|17|1283.67|51.34|1335.01|71.97|58.31|449.28|183.56|650.83|181.62|
2451058|53881|8335|41731|1046123|5715|32107|28053|1827904|2936|21968|1|42|11|5|17|11|9|29.79|1.19|30.98|91.16|59.67|0.00|20.85|8.94|152.02|
2451039|11891|1940|36748|83584|2773|8362|53188|1816862|2974|34286|4|11|2|1|13|12|61|2119.75|84.79|2204.54|30.32|271.45|1441.43|529.08|149.24|386.56|
2451035|37877|2389|36022|1502404|6833|19662|14294|1764552|4145|34491|1|18|3|1|17|13|27|54.81|0.00|54.81|7.04|146.07|12.05|40.19|2.57|153.11|
2450867|64669|13732|36022|1502404|6833|19662|16573|1482438|6726|38614|1|43|18|1|34|13|18|100.44|5.02|105.46|70.47|196.92|9.03|82.26|9.15|272.41|
2450952|64639|2128|24957|189998|3839|7327|95061|1639056|2195|3287|2|56|17|1|3|16|40|407.60|32.60|440.20|2.01|296.40|362.76|19.72|25.12|331.01|
2450940|15515|9586|24957|189998|3839|7327|51292|1218513|1645|32377|2|75|13|5|2|16|44|2157.76|43.15|2200.91|46.29|1280.84|1834.09|51.78|271.89|1370.28|
2450986|44014|5185|82003|599432|3708|27937|26895|1075366|3615|41511|4|9|12|1|2|18|10|339.60|30.56|370.16|25.06|157.70|196.96|45.64|97.00|213.32|
2450997|16008|4051|82003|599432|3708|27937|95809|452924|4311|28451|4|33|5|2|7|18|44|2618.44|235.65|2854.09|83.74|5117.64|968.82|65.98|1583.64|5437.03|
2450984|38620|11774|27389|27132|4828|48171|87287|326203|512|12421|4|100|8|2|31|19|44|6201.80|186.05|6387.85|29.08|1162.48|5891.71|173.65|136.44|1377.61|
2451067|22065|5074|75751|1766792|2633|25674|10993|517281|2882|33283|4|100|6|2|23|21|50|1654.00|82.70|1736.70|83.07|1034.00|1223.96|391.33|38.71|1199.77|
2450980|71718|9415|11242|541252|6015|7978|65550|640677|6379|23728|2|30|14|1|3|22|3|12.87|0.90|13.77|84.18|124.62|0.90|9.45|2.52|209.70|
2450997|73516|6014|11242|541252|6015|7978|46346|125760|4274|3988|2|45|3|2|11|22|30|2822.70|28.22|2850.92|25.25|1266.60|1072.62|122.50|1627.58|1320.07|
2450863|71183|11512|11242|541252|6015|7978|42328|1893150|6361|49172|2|21|18|4|20|22|2|64.64|5.17|69.81|66.56|77.08|1.93|52.04|10.67|148.81|
2450911|10436|8155|44703|600082|6661|6087|52371|178127|666|20805|4|73|9|3|27|23|8|85.92|1.71|87.63|0.94|50.00|65.29|13.61|7.02|52.65|
2451055|64648|7186|55764|1379528|6492|31056|97473|487719|1868|12817|1|61|11|5|31|26|17|1603.95|128.31|1732.26|92.88|1262.08|914.25|517.27|172.43|1483.27|
2450900|35973|15116|62042|643025|4008|23791|69519|445572|6601|46383|2|52|3|2|19|28|43|793.35|63.46|856.81|97.48|582.65|476.01|193.57|123.77|743.59|
2451065|54503|9790|24262|511666|7070|29274|13422|1020642|2223|43357|2|82|13|4|5|31|28|1098.16|98.83|1196.99|51.07|299.32|680.85|208.65|208.66|449.22|
2450983|7690|15460|70388|174162|3089|31663|66393|1678181|4527|42073|4|22|5|1|17|32|13|419.25|37.73|456.98|27.33|259.87|234.78|184.47|0.00|324.93|
2450896|74103|25|87486|1309701|1516|15378|43488|1596473|703|13286|1|35|9|4|9|33|1|7.80|0.31|8.11|57.79|7.22|3.51|2.35|1.94|65.32|
2450972|83387|6829|12919|717893|914|3888|60899|733587|4279|6571|1|54|7|4|1|35|32|5100.48|306.02|5406.50|83.98|377.60|5100.48|0.00|0.00|767.60|
2450927|36423|9283|53988|467550|5112|40321|99221|1235634|3167|11500|2|86|19|2|15|36|2|88.24|0.88|89.12|6.73|33.22|1.76|78.69|7.79|40.83|
2450966|47666|12661|53988|467550|5112|40321|21075|1897118|4028|22538|2|52|1|1|26|36|69|1440.72|100.85|1541.57|2.22|0.00|720.36|36.01|684.35|103.07|
2450952|75037|5635|76817|785079|1788|5250|2849|3803|6272|16388|2|7|9|3|34|37|14|377.58|30.20|407.78|95.44|684.32|332.27|19.93|25.38|809.96|
2450875|20595|262|50061|1286495|4976|25457|48250|349487|5628|15816|2|103|13|4|2|38|68|9568.28|669.77|10238.05|71.11|2192.32|2105.02|3433.09|4030.17|2933.20|
2451000|37487|11186|88898|1785329|2560|38991|4876|1456966|2056|7099|1|26|15|5|3|39|39|4710.03|0.00|4710.03|53.59|2302.56|3815.12|635.38|259.53|2356.15|
2450953|37170|4394|26283|157402|4874|43146|45523|1865664|3345|5426|4|74|9|5|31|40|40|1108.40|55.42|1163.82|77.46|408.80|1030.81|76.03|1.56|541.68|
2450962|65871|6902|7159|1915909|7059|18962|81338|488417|5969|9168|2|72|11|3|15|42|10|815.70|65.25|880.95|24.41|674.50|40.78|23.24|751.68|764.16|
2451026|77649|11450|53183|1623252|3721|25390|64385|187670|4723|40129|1|58|8|1|34|44|16|405.60|16.22|421.82|22.13|89.44|324.48|55.16|25.96|127.79|
2450932|31349|7153|53183|1623252|3721|25390|10971|1481620|29|44038|1|108|11|5|19|44|20|1854.60|37.09|1891.69|51.41|927.20|1075.66|646.52|132.42|1015.70|
2451047|54565|7582|64305|527683|6708|40486|38217|252890|3009|22728|2|98|18|2|21|45|1|9.89|0.09|9.98|5.19|16.60|5.43|2.14|2.32|21.88|
2450844|74844|625|64305|527683|6708|40486|59422|1717248|6779|39510|2|27|10|1|24|45|38|1472.50|103.07|1575.57|84.52|17.10|265.05|386.38|821.07|204.69|
2450935|54638|2722|86871|830328|6585|16842|69007|853051|4346|35994|1|78|12|5|35|46|50|1329.50|79.77|1409.27|30.45|52.00|1076.89|166.72|85.89|162.22|
2450953|36814|3464|86871|830328|6585|16842|83246|1490672|3850|46581|1|36|8|4|12|46|70|6902.00|207.06|7109.06|42.78|1401.40|5107.48|1740.68|53.84|1651.24|
2450991|18610|11164|95722|553976|3877|33331|96648|1555212|401|39143|1|74|10|2|6|47|49|3888.64|0.00|3888.64|43.74|3295.74|2605.38|667.29|615.97|3339.48|
2450953|52092|10774|48375|1166269|3010|28504|60422|1491876|7131|32339|2|43|10|5|18|48|10|892.10|26.76|918.86|75.24|1040.80|811.81|72.26|8.03|1142.80|
2450977|56863|2596|73786|196899|2059|33219|36658|678147|7063|39932|2|53|13|2|33|52|14|288.82|5.77|294.59|84.41|151.76|66.42|204.60|17.80|241.94|
2451022|23109|12164|73786|196899|2059|33219|44627|1013398|1201|43404|2|84|7|5|3|52|33|292.05|5.84|297.89|69.38|15.18|122.66|64.36|105.03|90.40|
